A,B,C,D,E,F,G,SpecificSE,Step_1__History_Max__ALLSE,Step_1__History_Max__MASS,Design Feasibility,Objective and Penalty
80,0.480835699,1.521137728,0.129703616,3.335328831,0.274740368,0.270614388,0.258231238,414325830.1,13.8841,3.35101E-08,9,-414325830.1
81,0.482574375,1.522393697,0.129703616,3.432473302,0.276057488,0.269267944,0.249788484,414726596.5,14.0268,3.38218E-08,9,-414726596.5
82,0.111303017,1.674440564,0.423611336,2.235360847,0.244497546,0.196491552,0.257317479,396334665.6,10.4519,2.63714E-08,7,-396334665.6
83,0.968658922,2.928220455,0.413025183,2.827774392,0.286244924,0.179783817,0.127421461,336073720.3,6.9658,2.0727E-08,7,-336073720.3
84,1.485159534,1.863971028,0.374375056,3.260099982,0.111884009,0.227575779,0.22255278,316638164,7.01724,2.21617E-08,7,-316638164
85,1.025414617,2.984440539,0.4123562,2.827774392,0.110086404,0.179783817,0.127421461,297611317.8,2.55763,8.59386E-09,7,-297611317.8
86,1.243611032,1.772771802,0.094378128,2.34802871,0.19152666,0.131701417,0.121759242,384620528.6,7.59214,1.97393E-08,7,-384620528.6
87,0.480835699,1.522389245,0.129703616,3.475405878,0.274740368,0.270614388,0.258231238,415049599.2,14.1253,3.40328E-08,9,-415049599.2
88,0.482574375,1.521142181,0.129703616,3.432023355,0.276057488,0.269267944,0.249788484,414895661.2,14.0348,3.38273E-08,7,-414895661.2
89,1.105402903,2.232165773,0.142036143,3.527833729,0.167958919,0.106555064,0.163189432,348077072.3,5.38155,1.54608E-08,7,-348077072.3
90,0.480835699,1.522393697,0.10147366,3.316106628,0.277312174,0.277361562,0.242629669,414376396.1,14.0612,3.39334E-08,7,-414376396.1
91,1.00577527,2.841214609,0.446260661,2.462305419,0.122085536,0.179783817,0.127421461,309917325.9,3.04504,9.82533E-09,7,-309917325.9
92,0.495206254,1.521143777,0.129703616,3.347614845,0.262800891,0.24518154,0.254214382,411257252.9,12.8573,3.12634E-08,7,-411257252.9
93,1.243611032,1.774842063,0.092134492,4.182658313,0.195808613,0.160855391,0.122407634,397307785.9,8.97856,2.25985E-08,7,-397307785.9
94,0.480835699,1.661353925,0.08042784,2.177384332,0.240083514,0.270614388,0.258231238,402573438.5,10.5812,2.62839E-08,7,-402573438.5
95,0.56243316,1.522393697,0.129703616,3.330005762,0.274740368,0.264375425,0.258231238,415432365.5,13.7462,3.30889E-08,9,-415432365.5
96,0.721412293,2.33463145,0.449238879,2.541805381,0.138466289,0.155697028,0.157780996,345236218.5,4.77403,1.38283E-08,7,-345236218.5
